id,retweet_count,favorite_count,retweeted
796177847564038144,16628,0,False
796149749086875649,16628,36177,False
796125600683540480,2079,5511,False
796116448414461957,2813,10139,False
796080075804475393,2703,9469,False
796031486298386433,4284,12071,False
795464331001561088,27728,55683,False
795400264262053889,3323,11270,False
795076730285391872,6288,18139,False
794983741416415232,3942,0,False
794926597468000259,2697,11492,False
794355576146903043,12014,0,False
794332329137291264,3088,10686,False
794205286408003585,3895,10314,False
793962221541933056,5711,18910,False
793845145112371200,2187,10295,False
793614319594401792,3661,0,False
793601777308463104,1908,8926,False
793500921481273345,2786,11953,False
793286476301799424,10723,27597,False
793271401113350145,2763,9677,False
793256262322548741,9714,22350,False
793241302385262592,3812,11780,False
793226087023144960,3338,11001,False
793210959003287553,3301,9997,False
793195938047070209,6547,17063,False
793180763617361921,2310,7740,False
793165685325201412,3238,10478,False
793150605191548928,1984,6909,False
793135492858580992,2893,7214,False
793120401413079041,4551,14202,False
792913359805018113,4715,16063,False
792883833364439040,4964,12666,False
792773781206999040,1963,8209,False
792394556390137856,4998,15128,False
792050063153438720,2088,8029,False
791821351946420224,24514,0,False
791784077045166082,11271,0,False
791780927877898241,4432,0,False
791774931465953280,21156,37818,False
791672322847637504,3661,13129,False
791406955684368384,4797,14670,False
791312159183634433,2963,9841,False
791026214425268224,4858,0,False
790987426131050500,2483,11089,False
790946055508652032,5496,18601,False
790723298204217344,2704,0,False
790698755171364864,2203,9158,False
790581949425475584,8183,22473,False
790337589677002753,2167,8740,False
790277117346975746,3732,14081,False
790227638568808452,4190,0,False
789986466051088384,2704,10369,False
789960241177853952,4839,0,False
789903600034189313,4858,11673,False
789628658055020548,2080,8448,False
789599242079838210,2279,7620,False
789530877013393408,3942,13188,False
789314372632018944,2666,9615,False
789280767834746880,5747,0,False
789268448748703744,3014,10196,False
789137962068021249,3244,10875,False
788908386943430656,14409,30653,False
788765914992902144,12014,30658,False
788552643979468800,8407,0,False
788412144018661376,5990,16060,False
788178268662984705,2488,8100,False
788150585577050112,1510,6865,False
788070120937619456,3952,0,False
788039637453406209,1535,6867,False
787810552592695296,3540,9717,False
787717603741622272,3240,11416,False
787397959788929025,3300,12120,False
787322443945877504,2032,8726,False
787111942498508800,7798,0,False
786963064373534720,9327,29725,False
786729988674449408,2827,0,False
786709082849828864,7069,20296,False
786664955043049472,2996,11957,False
786595970293370880,3601,10497,False
786363235746385920,4072,12189,False
786286427768250368,3352,8930,False
786233965241827333,5571,17178,False
786051337297522688,179,1614,False
786036967502913536,8237,0,False
785927819176054784,3652,12696,False
785872687017132033,2130,7489,False
785639753186217984,2561,8735,False
785533386513321988,2334,10183,False
785515384317313025,1477,6800,False
785264754247995392,1911,8128,False
785170936622350336,5639,13491,False
784826020293709826,3712,11310,False
784517518371221505,2970,10039,False
784431430411685888,1491,6329,False
784183165795655680,9374,22513,False
784057939640352768,12953,33505,False
783839966405230592,12643,33689,False
783821107061198850,2269,8209,False
783695101801398276,3737,11650,False
783466772167098368,2608,9468,False
783391753726550016,6441,18908,False
783347506784731136,6533,0,False
783334639985389568,13616,32651,False
783085703974514689,2565,9112,False
782969140009107456,8521,26949,False
782747134529531904,1604,8310,False
782722598790725632,6238,19250,False
782598640137187329,2184,8694,False
782305867769217024,6470,18630,False
782021823840026624,7236,0,False
781955203444699136,3920,12357,False
781661882474196992,3129,11634,False
781655249211752448,1314,4466,False
781524693396357120,6426,23163,False
781308096455073793,2961,7973,False
781251288990355457,2458,9428,False
781163403222056960,3168,10895,False
780931614150983680,8536,24192,False
780858289093574656,2328,8033,False
780800785462489090,1505,6141,False
780601303617732608,3839,13525,False
780543529827336192,2032,7040,False
780496263422808064,4319,0,False
780476555013349377,136,0,False
780459368902959104,1224,5892,False
780192070812196864,2589,9712,False
780092040432480260,2655,0,False
780074436359819264,5815,13723,False
779834332596887552,8237,21252,False
779377524342161408,3613,9831,False
779124354206535695,21324,0,False
779123168116150273,4207,13206,False
779056095788752897,5247,16500,False
778990705243029504,8437,22342,False
778774459159379968,11550,0,False
778764940568104960,426,955,False
778748913645780993,1562,7717,False
778650543019483137,1729,6430,False
778624900596654080,1176,5177,False
778408200802557953,5023,15135,False
778396591732486144,14198,0,False
778383385161035776,1271,6515,False
778286810187399168,3836,11576,False
778039087836069888,3065,9417,False
778027034220126208,1885,7320,False
777953400541634568,4080,0,False
